,0,1
26,"IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barre syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott?Aldrich syndrome and inflammatory skin diseases.",J
27,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",B
28,Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. ,A
29,For treatment of myocardial infarction and lysis of intracoronary emboli,B
30,For the treatment of female infertility,G
31,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.",L
32,"Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. ",H
33,Increases reduced platelet levels due to chemotherapy,L
34,For treatment of oral mucositis associated with chemotherapy and radiation therapy.,V
35,"For treatment of severe hypoglycemia, also used in gastrointestinal imaging",H
36,For treatment of adults with metastatic renal cell carcinoma.,L
37,For treatment of asthma caused by allergies,R
38,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L),G
39,For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. ,A
40,Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.,D
41,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)",V
42,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation,H
43,"For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.",L
44,"For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss",H
45,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),A
46,"Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and 
in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.",B
47,For reduction of mortality in patients with severe sepsis.,B
48,For diagnosis of extrahepatic malignant cancers,V
49,For treatment of acute lymphoblastic leukemia,L
50,"For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum",L
51,For treatment of myocardial infarction and acute coronary syndrome.,B
52,"To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis.",L
53,For treatment of female infertility,G
54,"For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding",H
55,Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.,L
56,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma",L
57,For increase of absorption and distribution of other injected drugs and for rehydration.,B
58,"For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2.",L
59,"For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis.",L
60,For prophylactic treatment of kidney transplant rejection,L
61,"For treatment of organ transplant recipients, prevention of organ rejection",L
62,For treatment of digitoxin overdose or digitalis glycoside toxicity.,V
63,For treatment of non-Hodgkin's lymphoma,V
64,For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.,J
65,"For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)",V
66,Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.,H
67,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.",M
68,"For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa¢â), chronic pancreatitis (Viokace¢â in combination with a proton pump inhibitor), and pancreatectomy (Viokace¢â in combination with a proton pump inhibitor).   

",A
69,"For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae",B
70,Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.,L
71,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),A
72,For diagnosis of prostate cancer and detection of intra-pelvic metastases.,V
73,For the treatment of mucopolysaccharidosis,A
74,"For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. ",L
75,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis",L
76,For treatment of female infertility,G
77,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.",L
78,For the treatment of female infertility,G
79,"Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies.",L
80,For treatment of hemophilia (Christmas disease).,B
81,For topical treatment of skin ulcers (from diabetes),A
82,For treatment of Fabry's disease (alpha-galactosidase A deficiency),A
83,For treatment of acromegaly and reduction of side effects from cancer chemotherapy,H
84,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.",L
85,For palliative treatment of advanced prostate cancer.,L
86,"Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. ",H
87,Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.,J
88,For prophylaxis of respiratory diseases casued by respiratory syncytial virus.,J
89,Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection,L
90,As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.,L
91,For imaging colorectal tumors,V
92,For nutritional supplementation and for treating dietary shortage or imbalance.,A
93,For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.,B
94,"For nutritional supplementation, also for treating dietary shortage or imbalance.",A
95,"For nutritional supplementation, also for treating dietary shortage or imbalance",N
96,Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.,B
97,"Used for nutritional supplementation, also for treating dietary shortage or imbalance.",B
98,"Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.",S
99,"There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.",B
100,"Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing.",A
101,"Used for nutritional supplementation, also for treating dietary shortage or imbalance.",A
102,"Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.",V
103,"Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.",A
104,For the treatment of ariboflavinosis (vitamin B2 deficiency).,A
105,"For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate.",M
106,"Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.",A
107,"For nutritional supplementation, also for treating dietary shortage or imbalance",V
108,Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.,B
109,"Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.",A
110,"Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances.",C
111,"For nutritional supplementation, also for treating dietary shortage or imbalance",C
112,"Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight.",N
113,For the prevention of liver damage and kidney damage associated with overdoses of acetaminophen,R
114,"For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis.",A
115,"For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis).",A
116,"EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy.",C
117,For the treatment of vitamin A deficiency.,A
118,"Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps.",A
119,"For nutritional supplementation, also for treating dietary shortage or imbalance.",A
120,"For the treatment of vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.",A
121,"The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification.",B
122,For the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease. ,C
123,For management of depression and for Obsessive Compulsive Disorder (OCD). Has also been used in the management of bulimia nervosa.,N
124,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors.",C
125,"For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy.   ",C
126,Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).,L
127,For the maintenance treatment of asthma as a prophylactic therapy.,R
128,"For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity.",M
129,For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children.,N
130,Used as a diagnostic aid for evaluation of gastric acid secretory function,V
131,For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.,N
132,For the treatment of symptoms of dry mouth in patients with Sj&ouml;gren's Syndrome.,N
133,"For the management of anxiety disorders, and for treatment of status epilepticus.",N
134,"For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention.",C
135,For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies.,L
136,"Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents.",N
137,For the treatment and management of obesity.,A
138,"Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis.",N
139,"For treatment of chickenpox - varicella, herpes zoster and herpes simplex",J
140,For the management of hypertension.,C
141,For the treatment of fungal infections.,D
142,"For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.",A
143,Oseltamivir (Tamiflu) is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days. It is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older.,J
144,"For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>.",D
145,"For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning.",B
146,"For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants.",N
147,"Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)",M
148,For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH). ,G
149,For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm,C
150,For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine,P
151,Foe the treatment of hypertension,C
152,"For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions: <i>H. influenzae</i>, <i>M. catarrhalis</i>, <i>S. pneumoniae</i>, <i>C. pneumoniae</i>, <i>M. pneumoniae</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. agal</i>",J
153,"Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke.
",B
154,"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition.",G
155,"For the topical treatment of comedo, papular and pustular acne (acne vulgaris) of the face, chest or back.",D
156,For the treatment of symptomatic orthostatic hypotension (OH).,C
157,For the treatment of hypertension and heart failure,C
158,Short-term (up to 16 weeks) treatment of erosive esophagitis.,A
159,"For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents.",C
160,"For the treatment of depression. Unlabeled indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy. ",N
161,For the acute treatment of migraine with or without aura in adults.,N
162,For the treatment of hypertension.,C
163,"For the treatment of sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. Also for the treatment of bacterial conjunctivitis (pinkeye).",S
164,For the treatment of visceral spasms,A
165,Used in combination with other antiviral drugs in the treatment of HIV in both adults and children.,J
166,"For the treatment of asthma, wheezing, and chronic asthmatic bronchitis.",R
167,For concomitant use with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus.,A
168,For relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.,D
169,Indinavir is an antiretroviral drug for the treatment of HIV infection.,J
170,"For intravenous use in MRI to visualize lesions with abnormal vascularity (or those thought to cause abnormalities in the blood-brain barrier) in the brain (intracranial lesions), spine, and associated tissues.",V
171,"For management as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia. For primary prevention of coronary heart disease and to slow progression of coronary atherosclerosis in patients with coronary heart disease. ",C
172,Used for the induction and maintenance of general anaesthesia during surgery and cesarean section and also used for analgesia during vaginal delivery.,N
173,For treatment of severe infections caused by susceptible bacteria.,J
174,"Pregabalin is used for the management of neuropathic pain associated with diabetic peripheral neuropathy or spinal cord injury, and postherpetic neuralgia. It is also used as adjunctive therapy for adult patients with partial onset seizures and management of fibromyalgia. ",N
175,For the short-term treatment of insomnia (generally 7-10 days).,N
176,"For use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Also used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.",C
177,For the treatment of tuberculosis,J
178,For the treatment of clinical depression.,N
179,Indicated for the treatment of congestive heart failure.,C
180,For the treatment of polycythaemia vera and refractory chronic myeloid leukaemia.,L
181,For use in combination with other antiretroviral drugs in the ongoing treatment of HIV-1 infection.,J
182,For treatment of dermal fungal infection.,D
183,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,D
184,"For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis) as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms. Also used as an alternative agent for the treatment of chronic lymphocytic leukemia (CLL), low-grade non-Hodgkin's lymphoma, and cutaneous T-cell lymphoma.",L
185,"For the treatment of chronic angina. It should be used in combination with amlodipine, beta-blockers or nitrates.",C
186,For the treatment of active ulcerative proctitis.,A
187,For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs.,N
188,For the treatment of schizophrenia and related psychotic disorders.,N
189,For the treatment of vascular headache,N
190,"For the treatment of hyperprolactinemic disorders, either idiopathic or due to prolactinoma (prolactin-secreting adenomas). May also be used to manage symptoms of Parkinsonian Syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease. ",G
191,For use in keratoconjunctivitis and keratitis caused by herpes simplex virus.,D
192,For the treatment and management of leprosy and dermatitis herpetiformis.,D
193,For the treatment of candidiasis (a yeast-like fungal infection) of the vulva and vagina.,G
194,"For the control of generalized tonic-clonic (grand mal) and complex partial (psychomotor, temporal lobe) seizures and prevention and treatment of seizures occurring during or following neurosurgery.",N
195,"For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity.",S
196,"Doxycycline is indicated for use in respiratory tract infections caused by Mycoplasma pneumoniae, Haemophilus influenzae, Streptococcus pneumoniae, Legionella spp., or Klebsiella spp. It is also used for prophylaxis of malaria. Doxycycline is indicated for a variety of bacterial infections, from Mycobacterium fortuitum and M. marinum, to susceptible E. coli and Brucella spp. It can be used as an alternative to treating plague, tetanus, Campylobacter fetus 
",A
197,Used in the treatment of prostate cancer. Previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery.,G
198,"For the treatment of infections and to treat acne. It may also be used to treat urinary tract infections, gum disease, and other bacterial infections such as gonorrhea and chlamydia. Lymecycline is also used commonly as a prophylactic treatment for infection by <i>Bacillus anthracis</i> (anthrax). It is also effective against <i>Yersinia pestis</i> and malaria and is also prescribed for the treatment of Lyme disease.",J
199,"For the local treatment of oropharyngeal candidiasis and vaginal yeast infections, also used in fungal infections of the skin such as ringworm, athlete's foot, and jock itch.",A
200,Calcium acetate is one of a number of calcium salts used to treat hyperphosphatemia (too much phosphate in the blood) in patients with kidney disease.,A
201,For the treatment of vulvovaginitis caused by <i>Candida albicans</i>.,J
202,Used in combination with up to 5 other drugs as a treatment for Mycobacterium avium complex (MAC) and is also used to treat tuberculosis (TB).,J
203,"For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events.",L
204,"For the treatment of brain tumors, multiple myeloma, Hodgkin's disease and Non-Hodgkin's lymphomas.",L
205,"For the treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.",J
206,"For the management of acute myocardial infarction, angina pectoris, heart failure and mild to moderate hypertension. May be used to treat supraventricular and tachyarrhythmias and as prophylaxis for migraine headaches.",C
207,For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis.,B
208,Used to treat female gynecologic and obstetric infections caused by susceptible aerobic (including the gonococcus) and anaerobic bacteria.,J
209,For the treatment of the signs and symptoms of idiopathic Parkinson's disease. Also used for the treatment of restless legs syndrome.,N
210,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.",G
211,For the management of mild to moderate essential hypertension. It may be used alone or concurrently with thiazide-type diuretics.,C
212,"Used, alone or in combination, for a wide variety of diagnostic imaging methods, including angiography, urography, cholangiography, computed tomography, hysterosalpingography, and retrograde pyelography. It can be used for imaging the gastrointestinal tract in patients allergic to barium.",V
213,For use clinically to test gastric secretory function.,V
214,Used for the treatment and control of partial seizures and severe tonic-clonic (grand mal) seizures and also for the prevention of migraine headaches. In children it is also used for treatment of Lennox-Gastaut syndrome. Qsymia¢ç is indicated for the treatment and management of obesity.,N
215,For the treatment of infections caused by susceptible organisms.,J
216,For the treatment of hypertension.,C
217,For treatment of acute myeloid leukaemia.,L
218,"For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis.",R
219,"Argatroban is indicated for prevention and treatment of thrombosis caused by heparin induced thrombocytopenia (HIT). It is also indicated for use in patients with, or at risk for, HIT who are undergoing percutaneous coronary intervention.",B
220,"Used as replacement or supplemental therapy in patients with hypothyroidism of any etiology, except transient hypothyrodism during the recovery phase of subacute thyroiditis.",H
221,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug.",C
222,For production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks.,C
223,For the treatment of moderate or severe hypercalcemia associated with malignancy,M
224,"For the relief of symptoms associated with allergic rhinitis such as sneezing, rhinorrhea, pruritus and acrimation. Also for the management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Used as self-medication for temporary relief of symptoms associated with the common cold.",R
225,For treatment and management of diabetes type II (used in combination therapy as a second or third line agent),A
226,"For the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder (social phobia), panic disorder with or without agoraphobia, vasomotor symptoms in women with breast cancer and in postmenopausal women, and neuropathic pain.",N
227,"For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)",G
