,0,1
26,"IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barre syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott?Aldrich syndrome and inflammatory skin diseases.",J
27,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",B
28,Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. ,A
29,For treatment of myocardial infarction and lysis of intracoronary emboli,B
30,For the treatment of female infertility,G
31,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.",L
32,"Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. ",H
33,Increases reduced platelet levels due to chemotherapy,L
34,For treatment of oral mucositis associated with chemotherapy and radiation therapy.,V
35,"For treatment of severe hypoglycemia, also used in gastrointestinal imaging",H
36,For treatment of adults with metastatic renal cell carcinoma.,L
37,For treatment of asthma caused by allergies,R
38,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L),G
39,For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. ,A
40,Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.,D
41,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)",V
42,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation,H
43,"For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.",L
44,"For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss",H
45,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),A
46,"Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and 
in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.",B
47,For reduction of mortality in patients with severe sepsis.,B
48,For diagnosis of extrahepatic malignant cancers,V
49,For treatment of acute lymphoblastic leukemia,L
50,"For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum",L
51,For treatment of myocardial infarction and acute coronary syndrome.,B
52,"To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis.",L
53,For treatment of female infertility,G
54,"For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding",H
55,Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.,L
56,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma",L
57,For increase of absorption and distribution of other injected drugs and for rehydration.,B
58,"For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2.",L
59,"For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis.",L
60,For prophylactic treatment of kidney transplant rejection,L
61,"For treatment of organ transplant recipients, prevention of organ rejection",L
62,For treatment of digitoxin overdose or digitalis glycoside toxicity.,V
63,For treatment of non-Hodgkin's lymphoma,V
64,For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.,J
65,"For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)",V
66,Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.,H
67,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.",M
68,"For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa™), chronic pancreatitis (Viokace™ in combination with a proton pump inhibitor), and pancreatectomy (Viokace™ in combination with a proton pump inhibitor).   

",A
69,"For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae",B
70,Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.,L
71,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),A
72,For diagnosis of prostate cancer and detection of intra-pelvic metastases.,V
73,For the treatment of mucopolysaccharidosis,A
74,"For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. ",L
75,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis",L
76,For treatment of female infertility,G
77,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.",L
78,For the treatment of female infertility,G
79,"Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies.",L
80,For treatment of hemophilia (Christmas disease).,B
81,For topical treatment of skin ulcers (from diabetes),A
82,For treatment of Fabry's disease (alpha-galactosidase A deficiency),A
83,For treatment of acromegaly and reduction of side effects from cancer chemotherapy,H
84,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.",L
85,For palliative treatment of advanced prostate cancer.,L
86,"Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. ",H
87,Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.,J
88,For prophylaxis of respiratory diseases casued by respiratory syncytial virus.,J
89,Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection,L
90,As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.,L
91,For imaging colorectal tumors,V
92,For nutritional supplementation and for treating dietary shortage or imbalance.,A
93,For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.,B
94,"For nutritional supplementation, also for treating dietary shortage or imbalance.",A
95,"For nutritional supplementation, also for treating dietary shortage or imbalance",N
96,Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.,B
97,"Used for nutritional supplementation, also for treating dietary shortage or imbalance.",B
98,"Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.",S
99,"There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.",B
100,"Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing.",A
101,"Used for nutritional supplementation, also for treating dietary shortage or imbalance.",A
